timestamp,tank_id,temp_c,do_mgL,ph,ammonia_mgL,turbidity_ntu,flow_Lmin
2026-05-21 20:00:00,T1,29.12,7.39,6.92,0.248,3.5,421.3
2026-04-30 14:00:00,T4,29.38,6.32,6.76,1.373,5.5,423.0
2026-04-06 11:10:00,T2,28.11,6.66,6.9,0.217,3.6,419.4
2026-04-19 16:10:00,T4,29.47,7.21,7.18,0.207,3.4,420.8
2026-03-12 13:10:00,T2,28.11,6.03,6.97,0.418,7.0,422.9
2026-04-19 20:30:00,T3,28.82,7.61,7.19,0.194,3.9,418.9
2026-04-27 23:30:00,T4,29.65,7.11,6.71,1.912,3.4,420.2
2026-04-26 00:50:00,T2,28.76,7.02,6.9,0.984,3.3,422.2
2026-05-28 14:50:00,T3,28.85,6.89,6.81,0.242,4.0,417.7
2026-03-09 14:30:00,T1,28.11,6.93,7.05,0.264,4.5,420.3
2026-04-21 01:50:00,T4,29.43,7.01,7.15,0.154,3.3,425.5
2026-04-20 22:20:00,T4,29.75,7.34,7.14,0.19,3.5,418.4
2026-03-26 00:50:00,T3,28.37,7.26,7.23,0.14,3.3,418.8
2026-04-09 15:00:00,T3,28.31,7.05,6.85,0.221,4.2,420.8
2026-05-11 01:10:00,T2,28.9,7.14,7.2,0.158,3.2,420.7
2026-04-29 10:20:00,T1,28.25,6.22,6.67,1.863,3.6,425.1
2026-04-14 20:20:00,T4,28.89,7.35,6.72,0.215,4.6,421.3
2026-04-05 02:30:00,T1,28.39,6.96,6.9,0.138,2.9,418.4
2026-04-03 05:40:00,T2,28.13,6.53,7.0,0.147,2.8,419.4
2026-05-09 01:10:00,T2,28.84,7.15,7.26,0.186,3.2,420.7
2026-05-25 22:10:00,T3,29.12,7.59,6.86,0.178,3.4,418.0
2026-05-21 08:10:00,T1,28.47,5.61,6.95,0.41,6.4,418.6
2026-05-28 15:30:00,T2,28.92,7.08,6.76,0.222,3.8,421.2
2026-03-16 12:20:00,T3,27.88,6.91,6.85,0.151,3.2,418.8
2026-03-01 18:30:00,T3,28.2,7.02,7.23,0.315,6.1,421.0
2026-04-11 06:10:00,T3,28.12,6.67,6.83,0.133,3.1,417.4
2026-05-16 18:50:00,T4,29.97,6.81,7.09,0.345,5.8,421.3
2026-04-12 17:40:00,T3,28.65,7.64,6.83,0.173,2.8,417.1
2026-03-29 09:00:00,T4,27.98,5.93,7.14,0.322,5.4,419.1
2026-05-11 21:30:00,T2,29.11,7.47,7.18,0.194,3.5,426.7
2026-05-26 18:50:00,T4,30.15,6.82,6.83,0.301,5.3,426.2
2026-04-16 16:20:00,T1,28.55,7.36,7.25,0.185,4.1,421.2
2026-04-05 14:00:00,T3,28.23,6.64,6.96,0.304,5.1,420.6
2026-03-30 16:00:00,T2,28.44,6.0,7.08,0.179,3.0,420.1
2026-04-19 23:40:00,T3,28.69,7.4,7.21,0.147,2.8,419.9
2026-03-20 04:20:00,T3,28.01,6.83,6.78,0.154,3.5,421.2
2026-03-25 06:50:00,T3,27.98,6.72,7.25,0.156,3.2,420.7
2026-05-03 12:10:00,T1,28.42,6.72,6.82,0.149,3.4,418.6
2026-04-23 18:50:00,T3,28.83,7.3,7.11,0.319,5.4,417.9
2026-03-12 09:20:00,T3,27.75,6.14,6.96,0.279,4.4,420.8
2026-03-17 07:00:00,T3,27.79,6.65,6.82,0.138,3.2,417.0
2026-05-11 05:30:00,T2,28.45,6.58,7.21,0.166,3.2,425.3
2026-05-11 17:00:00,T3,28.81,7.55,7.24,0.175,3.1,418.5
2026-04-25 15:50:00,T4,29.54,6.97,6.95,0.729,3.4,421.7
2026-03-10 04:50:00,T1,27.98,6.77,7.01,0.14,2.4,423.2
2026-05-22 08:10:00,T3,28.41,5.78,6.96,0.415,5.9,418.0
2026-03-04 09:10:00,T1,27.7,6.25,7.17,0.3,5.1,419.5
2026-04-21 16:00:00,T1,28.56,7.28,7.1,0.206,3.7,418.5
2026-05-26 12:00:00,T1,28.56,6.79,6.8,0.155,2.6,421.0
2026-05-28 04:10:00,T1,28.76,6.81,6.76,0.129,3.8,418.9
2026-04-17 05:30:00,T2,28.35,6.71,7.24,0.129,3.4,422.4
2026-03-29 21:50:00,T2,28.68,6.4,7.1,0.178,3.7,419.9
2026-04-17 23:20:00,T2,28.85,7.35,7.23,0.169,3.0,424.6
2026-03-27 07:20:00,T3,27.89,6.53,7.19,0.12,3.3,417.1
2026-05-11 14:30:00,T4,29.54,6.81,7.23,0.26,4.6,425.0
2026-04-05 04:10:00,T3,28.17,6.87,6.97,0.145,3.3,420.5
2026-03-09 11:00:00,T1,27.72,6.76,7.04,0.221,3.7,420.1
2026-03-01 19:20:00,T1,28.33,7.25,7.23,0.281,4.7,417.1
2026-04-02 12:10:00,T1,28.09,6.88,6.99,0.181,3.5,417.5
2026-04-10 08:20:00,T2,28.17,5.63,6.8,0.386,6.9,417.8
2026-03-19 23:50:00,T1,28.42,7.38,6.76,0.167,3.4,421.8
2026-03-23 09:40:00,T2,27.91,6.08,7.27,0.241,4.4,422.7
2026-04-01 13:40:00,T1,28.06,6.46,7.01,0.346,5.1,417.5
2026-05-27 21:50:00,T3,29.12,7.32,6.84,0.172,3.0,418.3
2026-03-07 22:10:00,T2,28.37,7.56,7.08,0.187,3.1,418.2
2026-05-18 06:00:00,T2,28.57,6.58,7.03,0.187,2.8,419.8
2026-03-03 13:50:00,T3,27.79,6.6,7.17,0.295,5.4,419.6
2026-03-19 04:30:00,T1,28.13,6.88,6.76,0.138,3.1,415.5
2026-04-16 20:30:00,T1,28.84,7.37,7.24,0.174,3.7,421.9
2026-03-21 22:30:00,T2,28.47,7.4,6.72,0.167,3.4,416.7
2026-05-01 11:40:00,T1,28.44,6.64,6.79,0.602,3.5,418.7
2026-04-16 20:50:00,T4,28.93,7.41,7.24,0.219,3.9,423.5
2026-03-24 06:40:00,T3,27.91,6.65,7.24,0.151,3.2,415.3
2026-03-06 07:40:00,T1,27.73,6.79,7.12,0.141,2.9,418.2
2026-04-01 05:50:00,T3,28.1,6.7,7.07,0.155,3.1,422.5
2026-03-15 10:50:00,T1,27.85,6.52,6.87,0.185,2.9,419.8
2026-03-29 05:10:00,T2,28.03,5.79,7.1,0.137,3.5,416.6
2026-04-21 19:20:00,T2,28.84,7.26,7.12,0.292,4.7,418.7
2026-03-19 04:50:00,T4,28.06,6.72,6.8,0.17,3.0,421.8
2026-05-16 00:50:00,T1,28.95,7.25,7.06,0.124,3.1,420.5
2026-05-11 20:20:00,T1,29.01,7.48,7.17,0.198,4.2,419.1
2026-05-06 10:10:00,T2,28.34,6.37,6.76,0.246,3.6,416.6
2026-04-01 12:50:00,T2,28.13,5.33,7.02,0.157,3.0,423.3
2026-03-06 14:40:00,T1,28.0,7.06,7.1,0.234,4.6,422.2
2026-04-24 10:10:00,T4,29.1,6.46,7.05,0.212,3.9,425.0
2026-05-15 10:30:00,T2,28.53,6.42,7.1,0.205,3.5,421.6
2026-04-26 04:00:00,T4,29.38,6.49,6.88,1.044,3.2,423.8
2026-05-23 23:50:00,T4,30.0,7.31,6.91,0.159,2.9,419.8
2026-05-01 07:50:00,T3,28.17,6.49,6.82,0.662,2.6,422.1
2026-03-12 20:50:00,T4,28.53,7.51,6.95,0.205,3.9,420.1
2026-05-25 10:10:00,T1,28.63,6.48,6.82,0.251,3.6,420.5
2026-04-21 01:20:00,T4,29.57,7.12,7.16,0.186,3.1,421.0
2026-04-28 11:00:00,T2,28.25,6.12,6.7,2.008,4.3,419.0
2026-03-22 03:50:00,T2,28.28,6.72,6.72,0.176,3.2,422.5
2026-03-01 06:00:00,T4,27.82,6.76,7.25,0.195,2.9,423.0
2026-03-28 16:50:00,T2,28.56,6.46,7.13,0.189,3.4,421.0
2026-04-11 02:50:00,T1,28.51,7.05,6.78,0.143,3.1,419.3
2026-04-01 19:40:00,T3,28.64,7.45,7.06,0.248,4.0,422.0
2026-04-19 04:40:00,T2,28.42,6.59,7.2,0.135,2.9,417.9
2026-05-19 01:10:00,T2,29.02,7.16,6.99,0.187,2.6,423.7
2026-04-29 09:20:00,T3,28.2,5.85,6.73,1.908,4.8,417.6
2026-05-03 10:10:00,T3,28.26,6.43,6.86,0.216,3.9,423.9
2026-05-17 09:40:00,T4,29.24,6.21,7.08,0.21,4.2,421.6
2026-04-16 14:30:00,T3,28.47,6.84,7.28,0.201,3.9,418.8
2026-05-14 09:00:00,T1,28.4,6.05,7.1,0.333,5.2,421.9
2026-05-06 02:50:00,T2,28.73,7.0,6.75,0.159,2.5,425.3
2026-05-18 16:30:00,T3,28.88,7.33,7.05,0.19,3.7,420.8
2026-05-25 14:00:00,T2,28.8,6.41,6.83,0.304,5.1,424.9
2026-04-14 15:50:00,T3,28.41,7.38,6.72,0.19,3.6,418.5
2026-03-16 21:50:00,T3,28.44,7.7,6.82,0.127,3.4,417.3
2026-03-05 01:10:00,T2,28.24,7.2,7.15,0.137,3.4,418.0
2026-03-01 20:10:00,T1,28.35,7.49,7.23,0.178,3.8,420.1
2026-03-04 16:10:00,T2,28.22,7.29,7.17,0.231,3.6,420.6
2026-05-09 03:50:00,T2,28.68,6.77,7.24,0.152,3.1,421.8
2026-05-06 18:10:00,T2,28.95,6.61,6.72,0.437,6.5,421.2
2026-04-20 02:10:00,T4,29.43,7.03,7.17,0.158,3.1,417.3
2026-04-11 00:30:00,T2,28.71,7.25,6.8,0.153,2.6,420.3
2026-03-12 06:00:00,T3,27.81,6.78,6.97,0.142,3.2,418.6
